CUSTNO,ASSO,COMPETITOR,PURDATE,GENDER,AGE,AREA,FREQ,MNAME,JOINMONTH
04112,D,D02,201505.0,,,,,,
04112,D,D02,201507.0,,,,,,
04112,D,D02,201511.0,,,,,,
04112,D,D02,201512.0,,,,,,
04115,D,D02,201511.0,,,,,,
04121,D,D02,201510.0,,,,,,
04126,D,D02,201504.0,,,,,,
04131,D,D02,201503.0,,,,,,
04138,D,D02,201501.0,,,,,,
04138,D,D02,201503.0,,,,,,
04138,D,D02,201506.0,,,,,,
04138,D,D02,201508.0,,,,,,
04138,D,D02,201510.0,,,,,,
04138,D,D02,201512.0,,,,,,
04143,D,D01,201503.0,,,,,,
04143,D,D01,201509.0,,,,,,
04143,D,D02,201501.0,,,,,,
04143,D,D02,201506.0,,,,,,
04153,D,D01,201505.0,,,,,,
04153,D,D01,201512.0,,,,,,
04153,D,D02,201505.0,,,,,,
04153,D,D02,201509.0,,,,,,
04162,D,D02,201502.0,,,,,,
04162,D,D02,201505.0,,,,,,
04172,D,D02,201510.0,,,,,,
04178,D,D01,201508.0,,,,,,
04182,D,D01,201501.0,,,,,,
04185,D,D02,201501.0,,,,,,
04219,D,D01,201510.0,,,,,,
04257,D,D02,201501.0,,,,,,
04257,D,D02,201504.0,,,,,,
04297,D,D02,201506.0,,,,,,
04297,D,D02,201508.0,,,,,,
04297,D,D02,201511.0,,,,,,
04309,D,D01,201510.0,,,,,,
04309,D,D01,201511.0,,,,,,
04309,D,D02,201510.0,,,,,,
04328,D,D02,201502.0,,,,,,
04330,D,D02,201504.0,,,,,,
04340,D,D02,201507.0,,,,,,
04347,D,D02,201501.0,,,,,,
04347,D,D02,201502.0,,,,,,
04347,D,D02,201503.0,,,,,,
04347,D,D02,201506.0,,,,,,
04347,D,D02,201510.0,,,,,,
04367,D,D02,201511.0,,,,,,
04380,D,D02,201509.0,,,,,,
04381,D,D02,201504.0,,,,,,
04403,D,D02,201510.0,,,,,,
04421,D,D01,201510.0,,,,,,
04421,D,D02,201503.0,,,,,,
04421,D,D02,201509.0,,,,,,
04421,D,D02,201512.0,,,,,,
04429,D,D02,201507.0,,,,,,
04434,D,D01,201503.0,,,,,,
04434,D,D01,201505.0,,,,,,
04444,D,D02,201503.0,,,,,,
04457,D,D02,201507.0,,,,,,
04457,D,D02,201512.0,,,,,,
04462,D,D02,201505.0,,,,,,
04472,D,D02,201503.0,,,,,,
04476,D,D02,201506.0,,,,,,
04487,D,D01,201508.0,,,,,,
04487,D,D02,201512.0,,,,,,
04491,D,D02,201506.0,,,,,,
04501,D,D02,201504.0,,,,,,
04513,D,D02,201506.0,,,,,,
04527,D,D02,201504.0,,,,,,
04527,D,D02,201506.0,,,,,,
04551,D,D02,201512.0,,,,,,
04560,D,D02,201501.0,,,,,,
04561,D,D02,201504.0,,,,,,
04561,D,D02,201511.0,,,,,,
04573,D,D02,201503.0,,,,,,
04576,D,D02,201511.0,,,,,,
04579,D,D01,201502.0,,,,,,
04579,D,D01,201508.0,,,,,,
04579,D,D01,201509.0,,,,,,
04582,D,D02,201505.0,,,,,,
04582,D,D02,201506.0,,,,,,
04582,D,D02,201509.0,,,,,,
04584,D,D02,201502.0,,,,,,
04587,D,D02,201508.0,,,,,,
04593,D,D01,201501.0,,,,,,
04605,D,D02,201511.0,,,,,,
04606,D,D02,201505.0,,,,,,
04606,D,D02,201506.0,,,,,,
04608,D,D02,201501.0,,,,,,
04618,D,D02,201510.0,,,,,,
04624,D,D01,201511.0,,,,,,
04624,D,D01,201512.0,,,,,,
04646,D,D02,201503.0,,,,,,
04660,D,D02,201510.0,,,,,,
04667,D,D02,201508.0,,,,,,
04681,D,D02,201505.0,,,,,,
04681,D,D02,201509.0,,,,,,
04684,D,D01,201503.0,,,,,,
04703,D,D01,201510.0,,,,,,
04714,D,D02,201504.0,,,,,,
04714,D,D02,201505.0,,,,,,
04714,D,D02,201506.0,,,,,,
04714,D,D02,201512.0,,,,,,
04735,D,D02,201510.0,,,,,,
04737,D,D02,201512.0,,,,,,
04769,D,D01,201501.0,,,,,,
04777,D,D02,201506.0,,,,,,
04792,D,D02,201512.0,,,,,,
04793,D,D02,201511.0,,,,,,
04798,D,D02,201501.0,,,,,,
04798,D,D02,201505.0,,,,,,
04798,D,D02,201511.0,,,,,,
04798,D,D02,201512.0,,,,,,
04799,D,D02,201502.0,,,,,,
04802,D,D02,201503.0,,,,,,
04802,D,D02,201510.0,,,,,,
04814,D,D02,201501.0,,,,,,
04816,D,D02,201512.0,,,,,,
04823,D,D02,201504.0,,,,,,
04823,D,D02,201505.0,,,,,,
04823,D,D02,201507.0,,,,,,
04823,D,D02,201510.0,,,,,,
04824,D,D02,201503.0,,,,,,
04824,D,D02,201505.0,,,,,,
04839,D,D02,201512.0,,,,,,
04855,D,D02,201510.0,,,,,,
04855,D,D02,201512.0,,,,,,
04860,D,D02,201505.0,,,,,,
04860,D,D02,201506.0,,,,,,
04867,D,D02,201508.0,,,,,,
04875,D,D02,201505.0,,,,,,
04901,D,D02,201510.0,,,,,,
04901,D,D02,201512.0,,,,,,
04912,D,D02,201507.0,,,,,,
04912,D,D02,201509.0,,,,,,
04912,D,D02,201510.0,,,,,,
04949,D,D01,201512.0,,,,,,
04961,D,D01,201512.0,,,,,,
04977,D,D01,201502.0,,,,,,
04977,D,D01,201505.0,,,,,,
04977,D,D01,201506.0,,,,,,
04977,D,D01,201512.0,,,,,,
04977,D,D02,201505.0,,,,,,
04977,D,D02,201512.0,,,,,,
04979,D,D02,201501.0,,,,,,
04979,D,D02,201502.0,,,,,,
04979,D,D02,201503.0,,,,,,
04985,D,D02,201504.0,,,,,,
04997,D,D01,201502.0,,,,,,
04997,D,D01,201505.0,,,,,,
05005,D,D02,201502.0,,,,,,
05005,D,D02,201503.0,,,,,,
05005,D,D02,201507.0,,,,,,
05015,D,D02,201507.0,,,,,,
05015,D,D02,201511.0,,,,,,
05065,D,D02,201504.0,,,,,,
05065,D,D02,201505.0,,,,,,
05065,D,D02,201510.0,,,,,,
05073,D,D02,201504.0,,,,,,
05074,D,D02,201503.0,,,,,,
05074,D,D02,201506.0,,,,,,
05074,D,D02,201507.0,,,,,,
05074,D,D02,201508.0,,,,,,
05074,D,D02,201509.0,,,,,,
05074,D,D02,201510.0,,,,,,
05076,D,D02,201503.0,,,,,,
05096,D,D02,201507.0,,,,,,
05103,D,D01,201503.0,,,,,,
05108,D,D02,201507.0,,,,,,
05136,D,D02,201509.0,,,,,,
05144,D,D02,201506.0,,,,,,
05146,D,D02,201507.0,,,,,,
05146,D,D02,201508.0,,,,,,
05146,D,D02,201509.0,,,,,,
05146,D,D02,201511.0,,,,,,
05150,D,D02,201508.0,,,,,,
05150,D,D02,201512.0,,,,,,
05167,D,D02,201501.0,,,,,,
05241,D,D02,201508.0,,,,,,
05241,D,D02,201509.0,,,,,,
05246,D,D02,201512.0,,,,,,
05247,D,D02,201507.0,,,,,,
05253,D,D02,201502.0,,,,,,
05253,D,D02,201504.0,,,,,,
05266,D,D02,201510.0,,,,,,
05266,D,D02,201511.0,,,,,,
05273,D,D02,201506.0,,,,,,
05281,D,D02,201506.0,,,,,,
05283,D,D02,201508.0,,,,,,
05285,D,D01,201505.0,,,,,,
05291,D,D02,201506.0,,,,,,
05291,D,D02,201512.0,,,,,,
05292,D,D01,201509.0,,,,,,
05292,D,D01,201512.0,,,,,,
05292,D,D02,201506.0,,,,,,
05292,D,D02,201509.0,,,,,,
05292,D,D02,201512.0,,,,,,
05324,D,D02,201507.0,,,,,,
05328,D,D02,201505.0,,,,,,
05328,D,D02,201506.0,,,,,,
05349,D,D02,201506.0,,,,,,
05364,D,D02,201507.0,,,,,,
05373,D,D02,201504.0,,,,,,
05377,D,D02,201511.0,,,,,,
05391,D,D02,201503.0,,,,,,
05397,D,D02,201511.0,,,,,,
05419,D,D02,201506.0,,,,,,
05422,D,D01,201502.0,,,,,,
05422,D,D02,201502.0,,,,,,
05432,D,D02,201505.0,,,,,,
05450,D,D02,201509.0,,,,,,
05461,D,D02,201503.0,,,,,,
05487,D,D02,201503.0,,,,,,
05508,D,D01,201506.0,,,,,,
05508,D,D01,201508.0,,,,,,
05508,D,D01,201512.0,,,,,,
05508,D,D02,201506.0,,,,,,
05514,D,D02,201512.0,,,,,,
05540,D,D02,201501.0,,,,,,
05560,D,D02,201503.0,,,,,,
05589,D,D02,201511.0,,,,,,
05596,D,D02,201504.0,,,,,,
05596,D,D02,201506.0,,,,,,
05596,D,D02,201509.0,,,,,,
05596,D,D02,201510.0,,,,,,
05600,D,D01,201506.0,,,,,,
05651,D,D02,201502.0,,,,,,
05651,D,D02,201503.0,,,,,,
05651,D,D02,201504.0,,,,,,
05651,D,D02,201509.0,,,,,,
05654,D,D02,201509.0,,,,,,
05656,D,D01,201507.0,,,,,,
05659,D,D01,201510.0,,,,,,
05661,D,D01,201509.0,,,,,,
05661,D,D02,201504.0,,,,,,
05661,D,D02,201505.0,,,,,,
05661,D,D02,201506.0,,,,,,
05661,D,D02,201508.0,,,,,,
05661,D,D02,201509.0,,,,,,
05661,D,D02,201510.0,,,,,,
05661,D,D02,201511.0,,,,,,
05661,D,D02,201512.0,,,,,,
05662,D,D01,201510.0,,,,,,
05668,D,D02,201507.0,,,,,,
05710,D,D01,201506.0,,,,,,
05710,D,D01,201507.0,,,,,,
05724,D,D02,201506.0,,,,,,
05749,D,D02,201506.0,,,,,,
05781,D,D02,201507.0,,,,,,
05783,D,D02,201505.0,,,,,,
05783,D,D02,201506.0,,,,,,
05783,D,D02,201507.0,,,,,,
05783,D,D02,201510.0,,,,,,
05784,D,D02,201509.0,,,,,,
05796,D,D02,201505.0,,,,,,
05797,D,D02,201508.0,,,,,,
05807,D,D02,201512.0,,,,,,
05829,D,D02,201507.0,,,,,,
05833,D,D02,201511.0,,,,,,
05833,D,D02,201512.0,,,,,,
05837,D,D02,201501.0,,,,,,
05837,D,D02,201507.0,,,,,,
05837,D,D02,201508.0,,,,,,
05837,D,D02,201509.0,,,,,,
05858,D,D02,201501.0,,,,,,
05858,D,D02,201505.0,,,,,,
05858,D,D02,201507.0,,,,,,
05859,D,D02,201512.0,,,,,,
05891,D,D02,201502.0,,,,,,
05897,D,D02,201508.0,,,,,,
05903,D,D02,201507.0,,,,,,
05915,D,D02,201505.0,,,,,,
05915,D,D02,201509.0,,,,,,
05918,D,D02,201508.0,,,,,,
05918,D,D02,201511.0,,,,,,
05918,D,D02,201512.0,,,,,,
05930,D,D02,201508.0,,,,,,
05937,D,D02,201504.0,,,,,,
05938,D,D02,201509.0,,,,,,
05954,D,D01,201504.0,,,,,,
05954,D,D02,201503.0,,,,,,
05954,D,D02,201506.0,,,,,,
05954,D,D02,201508.0,,,,,,
05954,D,D02,201512.0,,,,,,
05957,D,D02,201501.0,,,,,,
05968,D,D02,201510.0,,,,,,
05976,D,D02,201504.0,,,,,,
05976,D,D02,201505.0,,,,,,
06003,D,D02,201504.0,,,,,,
06007,D,D02,201504.0,,,,,,
06007,D,D02,201505.0,,,,,,
06007,D,D02,201506.0,,,,,,
06007,D,D02,201507.0,,,,,,
06019,D,D01,201509.0,,,,,,
06024,D,D02,201502.0,,,,,,
06035,D,D01,201506.0,,,,,,
06035,D,D02,201502.0,,,,,,
06035,D,D02,201506.0,,,,,,
06035,D,D02,201509.0,,,,,,
06076,D,D02,201505.0,,,,,,
06080,D,D01,201501.0,,,,,,
06080,D,D01,201503.0,,,,,,
06080,D,D01,201504.0,,,,,,
06080,D,D01,201512.0,,,,,,
06091,D,D02,201502.0,,,,,,
06091,D,D02,201503.0,,,,,,
06091,D,D02,201505.0,,,,,,
06091,D,D02,201506.0,,,,,,
06122,D,D02,201511.0,,,,,,
06126,D,D02,201512.0,,,,,,
06129,D,D02,201501.0,,,,,,
06129,D,D02,201505.0,,,,,,
06129,D,D02,201507.0,,,,,,
06129,D,D02,201512.0,,,,,,
06131,D,D01,201503.0,,,,,,
06148,D,D01,201507.0,,,,,,
06163,D,D01,201504.0,,,,,,
06168,D,D01,201504.0,,,,,,
06168,D,D02,201505.0,,,,,,
06168,D,D02,201506.0,,,,,,
06168,D,D02,201508.0,,,,,,
06179,D,D01,201511.0,,,,,,
06188,D,D02,201512.0,,,,,,
06204,D,D02,201501.0,,,,,,
06226,D,D02,201502.0,,,,,,
06232,D,D02,201501.0,,,,,,
06232,D,D02,201506.0,,,,,,
06232,D,D02,201510.0,,,,,,
06232,D,D02,201512.0,,,,,,
06245,D,D02,201511.0,,,,,,
06247,D,D02,201502.0,,,,,,
06247,D,D02,201507.0,,,,,,
06247,D,D02,201510.0,,,,,,
